"household_id","household_id2","rural","pw_w3","ea_id","ea_id2","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s14q00","hh_s14q02_a","hh_s14q02_b","hh_s14q03_a","hh_s14q03_b","hh_s14q04","hh_s14q05_a","hh_s14q05_b","hh_s14q05b","hh_s14q06","hh_s14q07_a","hh_s14q07_b","hh_s14q08_a","hh_s14q08_b","hh_s14q08_c"
"01050100105103","010501020100105103",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,103,1,"**CONFIDENTIAL**",7,1,,2,8,2007,6,2,7,2008,30000,3000,33000
"01050100105115","010501020100105115",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,115,1,"**CONFIDENTIAL**",7,1,,2,9,2007,6,2,7,2008,20000,2000,22000
"01050100105127","010501020100105127",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,127,1,"**CONFIDENTIAL**",7,1,,2,10,2007,6,2,6,2008,26000,2600,28600
"01050100105139","010501020100105139",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,139,1,"**CONFIDENTIAL**",7,2,,2,10,2007,6,2,7,2008,18000,1800,19800
"01050100105151","010501020100105151",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,151,1,"**CONFIDENTIAL**",7,2,,2,8,2007,6,2,5,2008,23000,2300,25300
"01050100105163","010501020100105163",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,163,1,"**CONFIDENTIAL**",7,2,,2,10,2007,6,2,7,2008,12000,1400,13400
"01050100105175","010501020100105175",3,2317.76318359375,"01050100105","010501020100105",1,5,1,2,1,1,5,175,1,"**CONFIDENTIAL**",7,2,,2,9,2007,6,2,7,2008,15000,1500,16500
"01050100105031","010501088800105031",1,362.095764160156,"01050100105","010501088800105",1,5,1,8,88,1,5,31,1,"**CONFIDENTIAL**",11,3,,3,10,2007,6,2,3,2009,3000,1000,4000
"01050100105091","010501088800105091",1,362.095764160156,"01050100105","010501088800105",1,5,1,8,88,1,5,91,1,"**CONFIDENTIAL**",11,1,2,3,12,2007,4,2,10,2008,26000,3120,29120
"01050100105136","010501088800105136",1,362.095764160156,"01050100105","010501088800105",1,5,1,8,88,1,5,136,1,"**CONFIDENTIAL**",11,1,2,3,1,2008,8,2,7,2008,15000,600,15600
