"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q07_b","cs6q07_c","cs6q08","cs6q09","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"030108088800701","03010800701",3,1,8,8,88,7,1,1,2,3,6,9,9,9,2,3,4,2,2,3,,,1,,1,210,3,2,1,1,2,3,3,3,3,1,3,3,4,4,4,2,3,3,2,3
"030109020100112","03010900112",3,1,9,2,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030110088801806","03011001806",3,1,10,8,88,18,6,1,8,1,7,10,10,11,3,3,4,2,2,1,,,1,,1,935,3,2,1,1,2,3,3,3,1,5,3,1,4,4,2,4,3,3,5,3
"030111088800102","03011100102",3,1,11,8,88,1,2,1,7,6,11,11,9,1,4,5,6,2,3,3,,,1,,1,300,1,1,3,1,1,1,1,9,1,1,1,1,4,4,3,3,3,3,3,1
"030112088800203","03011200203",3,1,12,8,88,2,3,1,6,3,2,9,10,,2,3,4,1,1,2,,,1,,2,,4,4,4,1,9,9,9,9,5,5,5,5,5,5,3,3,5,5,4,4
"030114088800816","03011400816",3,1,14,8,88,8,16,1,6,27,2,10,9,11,2,3,1,3,3,2,,,1,,1,200,1,3,3,1,2,2,1,2,1,1,2,3,4,2,9,9,2,2,3,2
"030116088802804","03011602804",3,1,16,8,88,28,4,1,6,11,7,10,12,10,4,4,2,3,3,1,,,1,,1,449,3,2,1,1,2,3,1,2,1,1,2,4,4,4,1,4,3,3,5,4
"030118010100610","03011800610",3,1,18,1,1,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030118010101204","03011801204",3,1,18,1,1,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030118010102006","03011802006",3,1,18,1,1,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030120020100105","03012000105",3,1,20,2,1,1,5,1,,,,9,10,10,3,4,4,3,3,1,,,1,,1,800,3,2,3,1,3,3,2,3,4,4,4,4,1,2,4,4,3,4,4,2
"030201088800703","03020100703",3,2,1,8,88,7,3,1,7,6,27,10,11,,2,3,,3,3,1,,,1,,2,,3,2,3,1,3,3,2,3,4,4,4,4,1,1,3,2,1,1,2,3
"030202088802508","03020202508",3,2,2,8,88,25,8,1,2,3,7,9,10,11,2,3,4,3,2,1,,,1,,1,1209,3,2,3,1,1,1,3,3,4,4,1,1,1,5,1,2,5,2,4,5
"030204088800906","03020400906",3,2,4,8,88,9,6,1,8,2,60,10,9,7,3,2,5,2,1,3,,,1,,1,250,3,2,3,1,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,3
"030205088801907","03020501907",3,2,5,8,88,19,7,1,1,60,8,7,9,,3,4,6,1,2,3,,,1,,1,715,3,2,3,1,3,3,3,3,3,4,3,3,4,3,3,2,3,3,3,3
"030207010100110","03020700110",3,2,7,1,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030207088803703","03020703703",3,2,7,8,88,37,3,1,7,2,,11,8,9,4,2,1,2,2,3,,,1,,1,495,3,2,3,1,3,3,3,3,4,4,2,3,4,4,3,3,3,3,3,3
"030209010100104","03020900104",3,2,9,1,1,1,4,1,3,2,,10,11,,3,4,,3,3,3,,,1,,2,,3,2,3,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4
"030209088800708","03020900708",3,2,9,8,88,7,8,1,3,2,7,9,10,11,2,3,4,1,1,3,,,1,,1,1532,3,2,3,1,1,2,3,3,5,5,5,5,4,2,3,4,4,4,4,3
"030301088800204","03030100204",3,3,1,8,88,2,4,1,1,8,7,11,10,12,3,4,5,3,3,1,,,1,,2,,3,3,3,1,3,3,1,3,4,4,4,4,1,1,4,1,1,1,4,3
"030302010100108","03030200108",3,3,2,1,1,1,8,1,7,6,2,11,8,11,3,3,3,3,3,1,,,2,1.5,2,,3,3,3,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1
"030302088802104","03030202104",3,3,2,8,88,21,4,1,6,7,2,8,11,11,3,2,2,3,3,1,,,1,,2,,3,3,3,1,1,2,2,1,5,4,5,4,1,1,4,4,2,1,1,4
"030303088802404","03030302404",3,3,3,8,88,24,4,1,1,8,7,10,11,12,5,4,3,3,3,1,,,1,,1,600,1,1,1,1,3,3,3,3,4,4,3,4,1,1,3,1,1,1,4,3
"030304088800906","03030400906",3,3,4,8,88,9,6,1,1,8,7,10,11,11,3,4,3,3,3,1,,,1,,1,216,3,3,3,1,2,2,1,2,2,2,2,2,2,2,4,4,4,4,4,4
"030305088801101","03030501101",3,3,5,8,88,11,1,1,8,1,15,11,10,10,4,3,2,3,3,1,,,1,,1,131,3,1,3,1,3,3,1,3,4,4,4,5,2,4,4,4,5,4,5,4
"030307088801002","03030701002",3,3,7,8,88,10,2,1,6,7,8,9,11,11,4,3,3,3,3,1,,,1,,1,683,3,3,3,1,2,2,1,2,1,1,1,1,2,1,3,2,2,2,4,4
"030308088801617","03030801617",3,3,8,8,88,16,17,1,6,7,11,8,11,12,3,2,3,3,3,1,,,1,,2,,3,3,3,1,1,1,3,1,4,5,4,4,1,1,1,4,4,4,4,2
"030309010100308","03030900308",3,3,9,1,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
