"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q01_oth","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q05_a_other","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11","cs5q08_a_other"
"030508010100106","03050800106",3,5,8,1,1,1,6,4,10,,,1,8,3,9,,,1,1,9,,1,25,9,
"030509020100104","03050900104",3,5,9,2,1,1,4,4,5,11,,1,3,2,8,10,,1,1,4,11,1,5,2,
"030511088800307","03051100307",3,5,11,8,88,3,7,1,4,11,,1,5,1,11,1,,1,1,9,12,2,,,
"030513088800702","03051300702",3,5,13,8,88,7,2,1,3,4,,1,2,1,1,3,,1,1,1,,2,,,
"030515088800703","03051500703",3,5,15,8,88,7,3,1,10,4,,1,5,2,9,11,,2,,,,2,,,
"030521088800808","03052100808",3,5,21,8,88,8,8,1,4,5,,1,10,1,1,,,2,,,,2,,,
"030602088802603","03060202603",3,6,2,8,88,26,3,1,5,4,,1,2,2,9,11,,2,,,,1,1,0,
"030604010100202","03060400202",3,6,4,1,1,2,2,4,,,,1,15,2,9,,,1,1,4,,2,,,
"030604088802001","03060402001",3,6,4,8,88,20,1,1,3,5,,1,3,1,1,11,,2,,,,1,2,1,
"030606088802103","03060602103",3,6,6,8,88,21,3,1,,,,1,5,1,1,,,1,1,1,,1,50,27,
"030609088801807","03060901807",3,6,9,8,88,18,7,1,4,3,,2,,,,,,2,,,,2,,,
"030611088802207","03061102207",3,6,11,8,88,22,7,1,,,,1,30,1,1,,,1,1,1,,2,,,
"030614010100105","03061400105",3,6,14,1,1,1,5,4,5,1,,1,1,3,11,9,,1,1,1,,2,,,
"030616088801207","03061601207",3,6,16,8,88,12,7,1,3,,,1,5,2,9,11,,2,,,,1,10,3,
"030701088801406","03070101406",3,7,1,8,88,14,6,1,5,4,,1,1,1,1,,,2,,,,2,,,
"030703088800105","03070300105",3,7,3,8,88,1,5,1,4,6,,1,3,1,11,,,2,,,,1,2,2,
"030704088801302","03070401302",3,7,4,8,88,13,2,1,4,6,,1,5,1,1,4,,1,1,1,9,1,10,2,
"030705010100105","03070500105",3,7,5,1,1,1,5,4,,,,1,5,1,1,,,2,,,,1,5,3,
"030705088802405","03070502405",3,7,5,8,88,24,5,1,,,,1,10,1,1,,,2,,,,1,3,3,
"030708020100211","03070800211",3,7,8,2,1,2,11,4,,,,1,10,2,10,,,1,1,6,,1,15,5,
"030708088801402","03070801402",3,7,8,8,88,14,2,1,,,,1,25,1,1,,,2,,,,2,,,
"030710088801703","03071001703",3,7,10,8,88,17,3,1,,,,2,,,,,,1,1,1,,2,,,
"030713088801304","03071301304",3,7,13,8,88,13,4,1,3,6,,1,2,2,11,4,,2,,,,1,5,1,
"030802088801503","03080201503",3,8,2,8,88,15,3,1,5,4,,1,4,1,11,1,,1,1,5,4,2,,,
"030803010100107","03080300107",3,8,3,1,1,1,7,1,4,5,,1,2,1,1,11,,1,2,10,,1,1,1,
"030803088800603","03080300603",3,8,3,8,88,6,3,1,5,4,,1,5,2,11,,,2,,,,2,,,
"030804088800503","03080400503",3,8,4,8,88,5,3,1,3,5,,1,3,2,11,1,,2,,,,2,,,
"030901088801202","03090101202",3,9,1,8,88,12,2,1,3,5,,1,10,1,1,9,,2,,,,1,69,17,
"030902088802501","03090202501",3,9,2,8,88,25,1,1,9,4,,1,50,1,1,,,2,,,,1,60,50,
"030902088803201","03090203201",3,9,2,8,88,32,1,1,5,,,1,2,1,1,,,2,,,,2,,,
"030903080100101","03090300101",3,9,3,8,1,1,1,4,5,10,,1,5,2,9,,,1,1,4,,1,15,17,
"030904088800702","03090400702",3,9,4,8,88,7,2,1,4,10,,1,5,1,1,,,2,,,,2,,,
"030905088801102","03090501102",3,9,5,8,88,11,2,1,3,6,,1,5,1,4,1,,2,,,,2,,,
"030906020100105","03090600105",3,9,6,2,1,1,5,4,5,10,,1,5,1,1,4,,1,1,4,5,1,5,10,
"031001088801106","03100101106",3,10,1,8,88,11,6,1,4,10,,1,2,3,1,11,,1,1,1,9,1,20,10,
"031002088801601","03100201601",3,10,2,8,88,16,1,1,3,,,1,50,3,11,,,2,,,,1,2,25,
"031004010100103","03100400103",3,10,4,1,1,1,3,11,10,4,,1,28,3,1,11,,1,1,10,1,2,,,
"031004088800408","03100400408",3,10,4,8,88,4,8,1,11,4,,1,25,3,9,,,1,1,9,,1,77,23,
"031101010100318","03110100318",3,11,1,1,1,3,18,4,9,10,,1,1,2,9,,,1,1,9,,1,35,40,
"031101010100719","03110100719",3,11,1,1,1,7,19,11,,,"tureta",1,2,2,10,,,1,2,10,,1,5,10,
"031101010101201","03110101201",3,11,1,1,1,12,1,4,9,10,,2,,,,,,1,1,9,,1,41,14,
"031201088800101","03120100101",3,12,1,8,88,1,1,1,,,,1,2,3,11,9,,2,,,,1,2,4,
"031201088800303","03120100303",3,12,1,8,88,3,3,1,4,,,1,10,3,1,11,,2,,,,2,,,
"031201088800504","03120100504",3,12,1,8,88,5,4,1,4,,,1,7,3,11,1,,1,1,11,4,2,,,
"040101088802202","04010102202",4,1,1,8,88,22,2,1,11,10,,1,10,2,10,,,2,,,,2,,,
"040106088801302","04010601302",4,1,6,8,88,13,2,1,10,,,2,,,,,,2,,,,2,,,
"040113088800501","04011300501",4,1,13,8,88,5,1,1,11,10,,2,,,,,,2,,,,2,,,
"040116020100103","04011600103",4,1,16,2,1,1,3,1,4,10,,1,5,2,4,,,1,1,4,9,1,30,20,
"040117010100211","04011700211",4,1,17,1,1,2,11,4,10,11,"qenseratenya",1,2,2,10,,,1,1,10,,1,15,10,
"040118088802402","04011802402",4,1,18,8,88,24,2,1,6,4,,1,5,1,4,9,,1,1,4,9,2,,,
"040204088801105","04020401105",4,2,4,8,88,11,5,4,10,1,,1,10,1,1,,,1,1,11,,1,2,1,
