"","household_id2","hh_wgt","urban","poor_npl1","pred_score_pr_full"
"370","040812088802401004",12263.90625,0,0,0.175633157485721
"371","071401088801303006",378.111694335938,0,0,0.476455372439284
"372","040113088800501062",9507.2978515625,0,1,0.410201721969188
"373","010502088801503058",1233.69641113281,0,0,0.0582453012402774
"374","041807088801106128",4440.45849609375,0,0,0.288865957516562
"375","040806088800802018",8614.1142578125,0,1,0.256883879785587
"376","010501020100105055",2317.76318359375,1,1,0.191752195107112
"377","072101088806202027",1436.28723144531,0,1,0.183555557877082
"378","030207010100110135",4544.451171875,1,0,0.0367182729795684
"379","020306088800601006",565.867980957031,0,1,0.570082665931821
"380","071401088800402068",352.107818603516,0,0,0.146624496008625
"381","071201088802802137",524.056335449219,0,0,0.371809573076509
"382","020103088800802283",450.185211181641,0,0,0.311450917924466
"383","030414088802101080",8247.173828125,0,1,0.277945647004541
"384","010502088801503167",1233.69641113281,0,0,0.116067568464425
"385","041309088801003019",9283.5576171875,0,0,0.236894482727168
"386","030513088800702045",4330.04931640625,0,0,0.277945647004541
"387","072001088801203034",3236.5068359375,0,0,0.682693627926853
"388","070207088801001034",5540.35205078125,0,1,0.436450992249818
"389","010202088800802033",3558.80615234375,0,0,0.246753098514231
"390","040508088803103064",32753.236328125,0,0,0.0268641404942275
"391","030116088802804005",7507.1787109375,0,0,0.384454158953013
"392","040812088802401040",12263.90625,0,0,0.100512947562797
"393","070103088800404175",3584.54711914062,0,0,0.347053816449006
"394","010408088800402155",3399.5146484375,0,0,0.423272215756039
"395","010403088800404106",3076.44262695312,0,0,0.246753098514231
"396","030606088802103135",8527.62890625,0,0,0.0868380703865353
