"holder_id","household_id","household_id2","rural","pw_w3","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_snrq00","ph_snrq01","ph_snrq02","ph_snrq03","obs"
"0104010120406302","01040101204063","010401088801204063",1,2849.8271484375,"01040101204",1,4,1,12,4,63,2,"N01","BEWANA GEBEYA YEGL NEGADE",14,4,1
"0104010120408101","01040101204081","010401088801204081",1,2849.8271484375,"01040101204",1,4,1,12,4,81,1,"N01","WANA GEBEYA",13,4,1
"0104010120409901","01040101204099","010401088801204099",1,2849.8271484375,"01040101204",1,4,1,12,4,99,1,"N01","BEWANA GEBEYAA",13,4,1
"0104010120411801","01040101204118","010401088801204118",1,2849.8271484375,"01040101204",1,4,1,12,4,118,1,"N01","BEWANA GEBEYA",13,4,1
"0104010120413601","01040101204136","010401088801204136",1,2849.8271484375,"01040101204",1,4,1,12,4,136,1,"N01","BEWANA GEBEYA YAGIL",14,4,1
"0104010120413601","01040101204136","010401088801204136",1,2849.8271484375,"01040101204",1,4,1,12,4,136,1,"N02","BEWANA GEBEYA",13,4,2
"0104010120415401","01040101204154","010401088801204154",1,2849.8271484375,"01040101204",1,4,1,12,4,154,1,"N01","BEWANA GEBEYA YEGL NEGADE",14,4,1
"0104010120417201","01040101204172","010401088801204172",1,2849.8271484375,"01040101204",1,4,1,12,4,172,1,"N01","KALAYU/YEGL NEGADE",14,4,1
"0104010120417201","01040101204172","010401088801204172",1,2849.8271484375,"01040101204",1,4,1,12,4,172,1,"N02","GIJET/NEGADE/",14,4,2
"0104030040400201","01040300404002","010403088800404002",1,3076.44262695313,"01040300404",1,4,3,4,4,2,1,"N01","YEAKEBABI GEBEYA",10,2,1
"0104030040401401","01040300404014","010403088800404014",1,3076.44262695313,"01040300404",1,4,3,4,4,14,1,"N01","WANA GEBEYA",13,4,1
"0104030040401401","01040300404014","010403088800404014",1,3076.44262695313,"01040300404",1,4,3,4,4,14,1,"N02","YEAKEBABI GEBEYA",10,2,2
"0104030040402701","01040300404027","010403088800404027",1,3076.44262695313,"01040300404",1,4,3,4,4,27,1,"N01","WANA GEBEYA",13,2,1
"0104030040402701","01040300404027","010403088800404027",1,3076.44262695313,"01040300404",1,4,3,4,4,27,1,"N02","YEAKEBABI GEBEYA",10,2,2
"0104030040405301","01040300404053","010403088800404053",1,3076.44262695313,"01040300404",1,4,3,4,4,53,1,"N01","WANA GEBEYA",13,2,1
"0104030040405301","01040300404053","010403088800404053",1,3076.44262695313,"01040300404",1,4,3,4,4,53,1,"N02","YEAKEBABI GEBEYA",10,4,2
"0104030040406501","01040300404065","010403088800404065",1,3076.44262695313,"01040300404",1,4,3,4,4,65,1,"N01","WANA GEBEYA",13,4,1
"0104030040407901","01040300404079","010403088800404079",1,3076.44262695313,"01040300404",1,4,3,4,4,79,1,"N01","WANA GEBEYA",13,4,1
"0104030040407901","01040300404079","010403088800404079",1,3076.44262695313,"01040300404",1,4,3,4,4,79,1,"N02","YEAKEBABI GEBEYA",10,2,2
"0104030040410601","01040300404106","010403088800404106",1,3076.44262695313,"01040300404",1,4,3,4,4,106,1,"N01","WANA GEBEYA",13,4,1
"0104030040410601","01040300404106","010403088800404106",1,3076.44262695313,"01040300404",1,4,3,4,4,106,1,"N02","YEAKEBABI GEBEYA",10,2,2
"0104030040411801","01040300404118","010403088800404118",1,3076.44262695313,"01040300404",1,4,3,4,4,118,1,"N01","WANA GEBEYA",13,4,1
"0104030040411801","01040300404118","010403088800404118",1,3076.44262695313,"01040300404",1,4,3,4,4,118,1,"N02","YEAKEBABI GEBEYA",10,2,2
"0104030040414301","01040300404143","010403088800404143",1,1783.44506835938,"01040300404",1,4,3,4,4,143,1,"N01","WANA GEBEYA",13,4,1
"0104030040414301","01040300404143","010403088800404143",1,1783.44506835938,"01040300404",1,4,3,4,4,143,1,"N02","YEAKEBABI GEBEYA",10,2,2
"0104040010300101","01040400103001","010404088800103001",1,1680.24951171875,"01040400103",1,4,4,1,3,1,1,"N01","YEAKEBABI GEBEYA",10,3,1
"0104040010300101","01040400103001","010404088800103001",1,1680.24951171875,"01040400103",1,4,4,1,3,1,1,"N02","GAUDEGNA /GOREBET",2,1,2
"0104040010300109","01040400103001","010404088800103001",1,1680.24951171875,"01040400103",1,4,4,1,3,1,9,"N01","WANA GEBEYA",13,3,1
"0104040010300109","01040400103001","010404088800103001",1,1680.24951171875,"01040400103",1,4,4,1,3,1,9,"N02","YEGL NEGADE",11,2,2
"0104040010301101","01040400103011","010404088800103011",1,1680.24951171875,"01040400103",1,4,4,1,3,11,1,"N01","YEAKEBABI GEBEYA",10,3,1
"0104040010301101","01040400103011","010404088800103011",1,1680.24951171875,"01040400103",1,4,4,1,3,11,1,"N02","WANA GEBEYA",13,3,2
"0104040010301601","01040400103016","010404088800103016",1,1680.24951171875,"01040400103",1,4,4,1,3,16,1,"N01","YEAKEBABI GEBEYA",10,3,1
"0104040010301601","01040400103016","010404088800103016",1,1680.24951171875,"01040400103",1,4,4,1,3,16,1,"N02","BEWANA GEBEYAW YEGL NEGADE",14,3,2
"0104040010303101","01040400103031","010404088800103031",1,1680.24951171875,"01040400103",1,4,4,1,3,31,1,"N01","WANA GEBEYA YEGL NEGADE",14,2,1
"0104040010303101","01040400103031","010404088800103031",1,1680.24951171875,"01040400103",1,4,4,1,3,31,1,"N02","YEAKEBABI GEBEYA",10,3,2
"0104040010304601","01040400103046","010404088800103046",1,107.457824707031,"01040400103",1,4,4,1,3,46,1,"N01","ZEMED",1,1,1
"0104040010304601","01040400103046","010404088800103046",1,107.457824707031,"01040400103",1,4,4,1,3,46,1,"N02","YEAKEBABI GEBEYA",10,3,2
"0104040010304701","01040400103047","010404088800103047",1,1680.24951171875,"01040400103",1,4,4,1,3,47,1,"N01","BEWANA GWBWYA YEGL NEGADE",14,3,1
"0104040010304701","01040400103047","010404088800103047",1,1680.24951171875,"01040400103",1,4,4,1,3,47,1,"N02","YEAKEBABI NEGADE",10,2,2
"0104040010304701","01040400103047","010404088800103047",1,1680.24951171875,"01040400103",1,4,4,1,3,47,1,"N03","WANA GWBWYA",13,3,3
