"holder_id","household_id","household_id2","rural","pw_w3","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s12q02_a","ph_s12q02_b","ph_s12q02_c","ph_s12q02_d","ph_s12q03_a","ph_s12q03_b","ph_s12q03b","ph_s12q04","ph_s12q05","ph_s12q06","ph_s12q07","ph_s12q0b","ph_s12q08","ph_s12q08a_1","ph_s12q08a_2","ph_s12q09_a","ph_s12q09_b","ph_s12q10a_1","ph_s12q10a_2","ph_s12q10","ph_s12q11","ph_s12q12","ph_s12q13","ph_s12q14","ph_s12q15a","ph_s12q15b","ph_s12q16","ph_s12q17","ph_s12q18","ph_s12q19_a","ph_s12q19_b","ph_s12q19_c","ph_s12q19_e","ph_s12q19_f","ph_s12q19_g","ph_s12q19_h","obs"
"0102010020707701","01020100207077","010201088800207077",1,3320.48193359375,"01020100207",1,2,1,2,7,77,1,"RED PEPPER",38,2008,1,2008,2,1,1,,2,,2,,,,,,,,1,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102010020709201","01020100207092","010201088800207092",1,3320.48193359375,"01020100207",1,2,1,2,7,92,1,"RED PEPPER",38,2008,1,2008,2,1,1,,2,,2,,,,,,,,0,,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102010020710701","01020100207107","010201088800207107",1,3320.48193359375,"01020100207",1,2,1,2,7,107,1,"RED PEPPER",38,2007,13,2008,2,1,181,,2,,2,,,,,,,,0,,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102010020712201","01020100207122","010201088800207122",1,3320.48193359375,"01020100207",1,2,1,2,7,122,1,"RED PEPPER",38,2007,13,2008,2,1,1,,2,,2,,,,,,,,0,,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102020080203301","01020200802033","010202088800802033",1,3558.80615234375,"01020200802",1,2,2,8,2,33,1,"GREEN PEPPER",59,2008,1,2008,1,3,1,,2,,2,,,,,,,,3,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102020080204801","01020200802048","010202088800802048",1,3558.80615234375,"01020200802",1,2,2,8,2,48,1,"ONION",58,2008,3,2008,3,20,1,,1,3,2,,,,,,,,20,1,2,,,,2,,,,,,100,0,0,0,0,0,100,2
"0102020080204801","01020200802048","010202088800802048",1,3558.80615234375,"01020200802",1,2,2,8,2,48,1,"GREEN PEPPER",59,2008,1,2008,2,5,1,,1,1,2,,,,,,,,5,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102020080204801","01020200802048","010202088800802048",1,3558.80615234375,"01020200802",1,2,2,8,2,48,1,"GESHO",75,2008,3,2008,4,2.25,123,15,1,5,1,2,123,2000,1,2,"N01",,0.25,123,2,,,,2,,,,,,10,0,0,0,90,0,100,3
"0102020080206301","01020200802063","010202088800802063",1,3558.80615234375,"01020200802",1,2,2,8,2,63,1,"GREEN PEPPER",59,2008,1,2008,3,5,1,,1,2,2,,,,,,,,5,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102020080207801","01020200802078","010202088800802078",1,3558.80615234375,"01020200802",1,2,2,8,2,78,1,"GREEN PEPPER",59,2008,1,2008,2,10,1,,2,,2,,,,,,,,10,1,2,,,,2,,,,,,100,0,0,0,0,0,100,2
"0102020080207801","01020200802078","010202088800802078",1,3558.80615234375,"01020200802",1,2,2,8,2,78,1,"GESHO",75,2008,3,2008,5,1,122,10,2,,1,20,1,600,1,,"N01",,12,1,2,,,,2,,,,,,5,0,0,0,95,0,100,1
"0102020080210801","01020200802108","010202088800802108",1,3558.80615234375,"01020200802",1,2,2,8,2,108,1,"GREEN PEPPER",59,2008,2,2008,2,10,1,,1,1,2,,,,,,,,10,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102030100100201","01020301001002","010203088801001002",1,3237.32836914063,"01020301001",1,2,3,10,1,2,1,"GUAVA",65,2008,3,2008,4,1,6,16,2,,1,1,6,150,1,2,"N01",,2,1,2,,,,2,,,,,,2,0,0,0,98,0,100,2
"0102030100100201","01020301001002","010203088801001002",1,3237.32836914063,"01020301001",1,2,3,10,1,2,1,"GESHO",75,2008,1,2008,4,6,122,84,2,,1,6,122,780,1,2,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,1
"0102030100101701","01020301001017","010203088801001017",1,3237.32836914063,"01020301001",1,2,3,10,1,17,1,"GESHO",75,2008,1,2008,5,10,1,22,2,,1,1,122,150,1,,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,1
"0102030100103201","01020301001032","010203088801001032",1,3237.32836914063,"01020301001",1,2,3,10,1,32,1,"GESHO",75,2007,12,2008,4,1,122,12,2,,1,1,122,125,1,,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,2
"0102030100103201","01020301001032","010203088801001032",1,3237.32836914063,"01020301001",1,2,3,10,1,32,1,"OTHER FRUITS",115,2007,11,2008,1,6,6,,2,,2,,,,,,,,6,6,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102030100106201","01020301001062","010203088801001062",1,3237.32836914063,"01020301001",1,2,3,10,1,62,1,"COFFEE",72,2008,2,2008,5,2,1,54,2,,2,,,,,,,,2,1,2,,,,2,,,,,,100,0,0,0,0,0,100,2
"0102030100106201","01020301001062","010203088801001062",1,3237.32836914063,"01020301001",1,2,3,10,1,62,1,"GESHO",75,2007,12,2008,5,7,3,500,2,,1,7,3,3000,1,2,"N01",,0,,2,,,,2,,,,,,0,0,0,0,100,0,100,1
"0102030100111101","01020301001111","010203088801001111",1,3237.32836914063,"01020301001",1,2,3,10,1,111,1,"BANANAS",42,2008,3,2008,3,3,1,6,2,,2,,,,,,,,3,1,2,,,,2,,,,,,100,0,0,0,0,0,100,2
