"holder_id","household_id","household_id2","rural","pw_w3","parcel_id","field_id","crop_code","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_s9q00","ph_s9q0a","ph_s9q01_a","ph_s9q01_b","ph_s9q02_a","ph_s9q02_b","ph_s9q03_a","ph_s9q03_b","ph_s9q04_a","ph_s9q04_b","ph_s9q05_a","ph_s9q05_b","obs"
"0101030180400401","01010301804004","010103088801804004",1,3971.76220703125,1,11,23,"01010301804",1,1,3,18,4,4,1,1,11,"LINESEED",23,15,2,2,100,15,3,2,20,7
"0101030180403401","01010301804034","010103088801804034",1,3971.76220703125,1,6,3,"01010301804",1,1,3,18,4,34,1,1,6,"MILLET",3,25,2,4,570,24,3,4,320,1
"0101030180403401","01010301804034","010103088801804034",1,3971.76220703125,2,1,7,"01010301804",1,1,3,18,4,34,1,2,1,"TEFF",7,25,2,2,460,18,3,2,240,2
"0101030180404901","01010301804049","010103088801804049",1,3971.76220703125,2,1,2,"01010301804",1,1,3,18,4,49,1,2,1,"MAIZE",2,2,3,4,430,14,3,4,220,1
"0101030180404901","01010301804049","010103088801804049",1,3971.76220703125,4,1,7,"01010301804",1,1,3,18,4,49,1,4,1,"TEFF",7,19,2,3,210,15,3,3,80,2
"0101030180404901","01010301804049","010103088801804049",1,3971.76220703125,6,1,3,"01010301804",1,1,3,18,4,49,1,6,1,"MILLET",3,28,2,4,20,23,3,3,850,3
"0101030180406901","01010301804069","010103088801804069",1,3971.76220703125,1,2,2,"01010301804",1,1,3,18,4,69,1,1,2,"MAIZE",2,5,3,4,970,19,3,4,530,1
"0101030180406901","01010301804069","010103088801804069",1,3971.76220703125,1,3,11,"01010301804",1,1,3,18,4,69,1,1,3,"CHICK PEAS",11,14,2,3,80,10,3,2,810,2
"0101030180406901","01010301804069","010103088801804069",1,3971.76220703125,1,4,13,"01010301804",1,1,3,18,4,69,1,1,4,"HORSE BEANS",13,15,2,1,800,11,3,1,630,3
"0101030180406901","01010301804069","010103088801804069",1,3971.76220703125,2,1,3,"01010301804",1,1,3,18,4,69,1,2,1,"MILLET",3,26,2,4,370,21,3,4,30,4
