cluster_lat,cluster_lon,geometry,latitude,longitude,rwi,error,closest_rwi_geom,distance
10.7927763733,37.144541492,POINT (37.144541492 10.7927763733),10.8009324,37.1447754,-0.365,0.357,POINT (37.1447754 10.8009324),723.3770032561749
10.821968586,36.347624252,POINT (36.347624252 10.821968586),10.8225151,36.3537598,-0.138,0.369,POINT (36.3537598 10.8225151),683.9951825393301
10.8293373184,37.064423275,POINT (37.064423275 10.8293373184),10.8225151,37.0568848,0.291,0.35,POINT (37.0568848 10.8225151),1033.9753646595482
10.8585208676,36.8876491238,POINT (36.8876491238 10.8585208676),10.8656756,36.8811035,-0.154,0.415,POINT (36.8811035 10.8656756),966.7853548002939
10.8605156445,36.3502141172,POINT (36.3502141172 10.8605156445),10.8656756,36.3537598,-0.378,0.35,POINT (36.3537598 10.8656756),607.437634051386
10.863651794,38.2487832426,POINT (38.2487832426 10.863651794),10.8656756,38.2434082,-0.365,0.345,POINT (38.2434082 10.8656756),623.2604227328734
10.9070459818,38.0365174999,POINT (38.0365174999 10.9070459818),10.90883,38.0456543,-0.379,0.349,POINT (38.0456543 10.90883),1027.9082187427205
10.9346269955,37.0039728964,POINT (37.0039728964 10.9346269955),10.9304048,37.0129395,-0.189,0.353,POINT (37.0129395 10.9304048),1065.1975024744931
10.9370696143,36.6547551047,POINT (36.6547551047 10.9370696143),10.9304048,36.661377,-0.461,0.347,POINT (36.661377 10.9304048),946.3702376241978
10.9436292122,40.0054371148,POINT (40.0054371148 10.9436292122),10.951978,40.0012207,-0.52,0.341,POINT (40.0012207 10.951978),851.7642380296467
10.9551945389,38.2846965084,POINT (38.2846965084 10.9551945389),10.951978,38.2873535,-0.256,0.34,POINT (38.2873535 10.951978),407.5558217690276
10.9686100623,37.1784774038,POINT (37.1784774038 10.9686100623),10.9735497,37.1887207,-0.087,0.342,POINT (37.1887207 10.9735497),1220.1720743370793
10.9878391908,39.9234074653,POINT (39.9234074653 10.9878391908),10.9951198,39.9133301,-0.17,0.337,POINT (39.9133301 10.9951198),1281.0774657457762
11.003906691,39.9387898351,POINT (39.9387898351 11.003906691),10.9951198,39.9353027,-0.313,0.337,POINT (39.9353027 10.9951198),843.5585074189235
11.0268833144,38.9229352692,POINT (38.9229352692 11.0268833144),11.0166883,38.9245605,-0.186,0.339,POINT (38.9245605 11.0166883),900.2724400875816
11.0636624461,37.0703789795,POINT (37.0703789795 11.0636624461),11.0598206,37.0788574,-0.339,0.36,POINT (37.0788574 11.0598206),1002.4775760933273
11.0649986483,39.1176657526,POINT (39.1176657526 11.0649986483),11.0598206,39.1223145,-0.283,0.342,POINT (39.1223145 11.0598206),683.1865500293155
11.0874300942,39.7843913054,POINT (39.7843913054 11.0874300942),11.0813844,39.7814941,-0.431,0.342,POINT (39.7814941 11.0813844),608.8238075833239
11.09415308,39.7308806471,POINT (39.7308806471 11.09415308),11.1029466,39.7375488,0.655,0.478,POINT (39.7375488 11.1029466),1056.023887376534
11.1106759092,39.6278996228,POINT (39.6278996228 11.1106759092),11.1029466,39.6276855,0.915,0.507,POINT (39.6276855 11.1029466),662.3875176509938
11.1136181517,40.017211804,POINT (40.017211804 11.1136181517),11.1029466,40.0231934,-0.23,0.357,POINT (40.0231934 11.1029466),1126.139777626029
11.115608637,36.3763433187,POINT (36.3763433187 11.115608637),11.1245072,36.3757324,-0.15,0.42,POINT (36.3757324 11.1245072),799.5587960363639
11.1436010999,39.6325847592,POINT (39.6325847592 11.1436010999),11.1460662,39.6276855,0.7,0.54,POINT (39.6276855 11.1460662),584.2475183096819
11.1437266727,39.6343515443,POINT (39.6343515443 11.1437266727),11.1460662,39.6276855,0.7,0.54,POINT (39.6276855 11.1460662),767.8308394662428
11.1913400617,36.9496969313,POINT (36.9496969313 11.1913400617),11.1891794,36.9470215,-0.267,0.347,POINT (36.9470215 11.1891794),354.07521357465515
11.2140035523,40.2055920948,POINT (40.2055920948 11.2140035523),11.2322862,40.1989746,-0.541,0.349,POINT (40.1989746 11.2322862),1718.2310047542042
11.2385732357,38.311340877,POINT (38.311340877 11.2385732357),11.2322862,38.3093262,-0.029,0.36,POINT (38.3093262 11.2322862),592.5294365769012
11.2828210609,36.9596879306,POINT (36.9596879306 11.2828210609),11.2753865,36.9689941,-0.084,0.364,POINT (36.9689941 11.2753865),1227.6433955832456
11.3323287202,36.2720183518,POINT (36.2720183518 11.3323287202),11.3184804,36.2658691,-0.527,0.361,POINT (36.2658691 11.3184804),1417.353181343461
11.3508873749,38.2271249275,POINT (38.2271249275 11.3508873749),11.3400249,38.2214355,-0.436,0.341,POINT (38.2214355 11.3400249),1140.4408011623773
11.3563674371,39.4349241782,POINT (39.4349241782 11.3563674371),11.3615678,39.4299316,-0.547,0.341,POINT (39.4299316 11.3615678),712.5081014041959
11.3744751246,37.4523245003,POINT (37.4523245003 11.3744751246),11.383109,37.4523926,-0.418,0.383,POINT (37.4523926 11.383109),762.1767464761084
11.3772201358,38.278018676,POINT (38.278018676 11.3772201358),11.3400249,38.2873535,-0.06,0.343,POINT (38.2873535 11.3400249),3408.4433830610265
11.3962743181,37.042616257,POINT (37.042616257 11.3962743181),11.4046486,37.0349121,-0.44,0.344,POINT (37.0349121 11.4046486),1134.1759705809977
11.4068193647,38.2392937807,POINT (38.2392937807 11.4068193647),11.3400249,38.2434082,-0.145,0.341,POINT (38.2434082 11.3400249),5851.317232708693
11.4159600258,39.8485705676,POINT (39.8485705676 11.4159600258),11.4261866,39.8474121,-0.151,0.342,POINT (39.8474121 11.4261866),882.490493616901
11.5223288693,41.5692958857,POINT (41.5692958857 11.5223288693),11.5123222,41.5612793,-0.7,0.344,POINT (41.5612793 11.5123222),1219.7059302647776
11.5278035382,41.5207097044,POINT (41.5207097044 11.5278035382),11.533852,41.517334,-0.461,0.35,POINT (41.517334 11.533852),628.0741562525296
11.5311102163,41.4141896542,POINT (41.4141896542 11.5311102163),11.533852,41.4294434,-0.772,0.356,POINT (41.4294434 11.533852),1711.4763139733661
11.5627562227,41.4373370222,POINT (41.4373370222 11.5627562227),11.5553801,41.4294434,-0.353,0.475,POINT (41.4294434 11.5553801),1071.695984587266
11.5643352872,41.433969488,POINT (41.433969488 11.5643352872),11.5553801,41.4294434,-0.353,0.475,POINT (41.4294434 11.5553801),900.367935820226
11.5649164965,36.4628430612,POINT (36.4628430612 11.5649164965),11.5553801,36.463623,-0.52,0.485,POINT (36.463623 11.5553801),857.2118535774089
11.5722584501,41.4599988872,POINT (41.4599988872 11.5722584501),11.5769066,41.451416,0.21,0.401,POINT (41.451416 11.5769066),1029.9897222808859
11.5734898012,41.4562970482,POINT (41.4562970482 11.5734898012),11.5769066,41.451416,0.21,0.401,POINT (41.451416 11.5769066),612.9110587786582
11.5763195069,37.3667248025,POINT (37.3667248025 11.5763195069),11.5769066,37.364502,1.33,0.527,POINT (37.364502 11.5769066),252.55144285340765
11.583427511,37.4126559043,POINT (37.4126559043 11.583427511),11.5769066,37.4084473,0.93,0.569,POINT (37.4084473 11.5769066),742.0990938735254
11.5896069125,37.3720338047,POINT (37.3720338047 11.5896069125),11.5984314,37.364502,1.135,0.536,POINT (37.364502 11.5984314),1144.357480725494
11.5926346487,40.8433732471,POINT (40.8433732471 11.5926346487),11.5984314,40.880127,-0.318,0.341,POINT (40.880127 11.5984314),4115.801834539888
11.6129324631,37.3210522163,POINT (37.3210522163 11.6129324631),11.6199546,37.3205566,0.267,0.412,POINT (37.3205566 11.6199546),623.3952457368492
11.6158919435,37.4626255675,POINT (37.4626255675 11.6158919435),11.6199546,37.4523926,0.339,0.549,POINT (37.4523926 11.6199546),1193.0234254090312
11.6284538153,40.8825663765,POINT (40.8825663765 11.6284538153),11.6199546,40.880127,-0.391,0.391,POINT (40.880127 11.6199546),764.2876565905949
11.6454398842,38.4188571016,POINT (38.4188571016 11.6454398842),11.6414761,38.4191895,-0.133,0.357,POINT (38.4191895 11.6414761),347.29647355384645
11.6514708203,37.1032812474,POINT (37.1032812474 11.6514708203),11.6414761,37.1008301,-0.449,0.339,POINT (37.1008301 11.6414761),927.3385712776472
11.6520715916,39.0267755553,POINT (39.0267755553 11.6520715916),11.6414761,39.0344238,-0.073,0.336,POINT (39.0344238 11.6414761),1249.3469254476963
11.6549185473,39.0357534985,POINT (39.0357534985 11.6549185473),11.6629959,39.0344238,-0.365,0.337,POINT (39.0344238 11.6629959),713.1512414537573
11.6692064259,39.6566031821,POINT (39.6566031821 11.6692064259),11.6629959,39.6496582,0.577,0.511,POINT (39.6496582 11.6629959),937.5826760163193
11.6741945611,40.0955328755,POINT (40.0955328755 11.6741945611),11.6845141,40.0891113,-0.559,0.343,POINT (40.0891113 11.6845141),1131.5698884022806
