"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-3.18563731603725","3.02211161470167","3.39264294890037","450","rural","poor_2011_190"
"-2.97676507773914","2.9817500635021","3.34249331176201","500","rural","poor_2011_190"
"-5.34218203854357","4.18083777773562","0.888042936889679","100","urban","poor_2011_190"
"-3.74054090155483","3.30633495268986","0.962874827302093","150","urban","poor_2011_190"
"-2.96597228274431","2.68176677896168","0.80761060276965","200","urban","poor_2011_190"
"-2.45152795778926","2.33717392112735","0.830594338229336","250","urban","poor_2011_190"
"-2.10038183682203","1.93567172291335","0.930461981525063","300","urban","poor_2011_190"
"-1.62042920008291","1.73840071822556","0.861220635871232","350","urban","poor_2011_190"
"-1.31276182428799","1.50959770566303","0.888226536485584","400","urban","poor_2011_190"
"-1.0721377367782","1.12734446855615","0.909175459546617","450","urban","poor_2011_190"
"-0.725293334011441","0.954226823538402","0.89602666151943","500","urban","poor_2011_190"
"-8.42780773078158","7.29523836931938","2.6774756705497","100","full","poor_2011_190"
"-6.63651323553055","5.84151180667245","2.70746654783719","150","full","poor_2011_190"
"-5.84565431084545","5.18877844933241","2.78085051392545","200","full","poor_2011_190"
"-4.8025564839197","4.30665227287978","2.56044537343191","250","full","poor_2011_190"
"-4.32067202026784","3.95622860696752","2.63699833316225","300","full","poor_2011_190"
"-3.72736536597699","3.77106967423643","2.80349963909875","350","full","poor_2011_190"
"-3.36182784816515","3.58654292334157","2.64125086872453","400","full","poor_2011_190"
"-3.27464185618657","3.2282893152947","2.69083707929137","450","full","poor_2011_190"
"-3.00231079706783","2.94523360435149","2.7158633910768","500","full","poor_2011_190"
"-12.7705667742937","11.7868982316952","-1.82155251106627","100","rural","poor_2011_320"
"-10.7011037530929","9.80360099616071","-1.69446587078905","150","rural","poor_2011_320"
"-8.07658284244915","8.45737071510364","-1.70964354139572","200","rural","poor_2011_320"
"-7.14705414700746","7.45144735347451","-1.68396957022648","250","rural","poor_2011_320"
"-6.48016496757078","6.23088590241138","-1.71513363327611","300","rural","poor_2011_320"
"-5.91874059425135","5.70678521589165","-1.61339242510248","350","rural","poor_2011_320"
"-5.10038783633055","5.37124672900699","-1.81459988426016","400","rural","poor_2011_320"
"-4.8296716328096","4.65018183129697","-1.52566491136345","450","rural","poor_2011_320"
"-4.38045979062769","4.13819794818154","-1.63223799700665","500","rural","poor_2011_320"
"-8.93963230579561","8.28806704941411","5.98977797795848","100","urban","poor_2011_320"
"-6.9170360938059","6.31507327726137","5.95289763414017","150","urban","poor_2011_320"
"-5.89661195149198","5.5543601890345","5.97208474673808","200","urban","poor_2011_320"
"-4.72419953944677","4.44006554414208","6.00287083695097","250","urban","poor_2011_320"
"-3.61359513350298","3.60802499968863","6.09509222756901","300","urban","poor_2011_320"
"-3.26929908850888","3.50473110941194","5.96013607226803","350","urban","poor_2011_320"
"-2.63601790068521","2.53987336031528","5.99064468156671","400","urban","poor_2011_320"
"-2.07293318672845","2.24747057945306","5.94772338069989","450","urban","poor_2011_320"
"-1.45450677773225","1.57742687881394","5.9355477220852","500","urban","poor_2011_320"
"-12.3820662537537","12.0370303343572","0.250707700390311","100","full","poor_2011_320"
"-10.1562762688333","9.9576035226109","0.417966862423334","150","full","poor_2011_320"
"-8.30309971882231","7.90150502260222","0.58579244740175","200","full","poor_2011_320"
"-6.82343114370607","6.94058425674192","0.330268376408014","250","full","poor_2011_320"
"-6.15621884930793","5.83997201206386","0.423545919287051","300","full","poor_2011_320"
"-5.96628251381524","5.92413006035848","0.578730089260454","350","full","poor_2011_320"
"-5.28219307990129","5.190059301597","0.357006068120607","400","full","poor_2011_320"
"-4.79272249989699","4.86891757780544","0.460516899871714","450","full","poor_2011_320"
"-4.65764281038784","4.95767616499069","0.554455149448155","500","full","poor_2011_320"
"-11.2246504746978","11.4174069325821","-4.06453024692485","100","rural","poor_2011_550"
"-8.49152025693827","9.11461204052392","-3.76337085981857","150","rural","poor_2011_550"
"-7.29291826734328","7.74161730521614","-3.64901107657928","200","rural","poor_2011_550"
"-6.30515976309678","7.18223370334734","-3.72007439098933","250","rural","poor_2011_550"
"-5.6987251505435","5.96177988265041","-3.80931970617992","300","rural","poor_2011_550"
"-5.39404726563058","5.3821137056522","-3.82419695704281","350","rural","poor_2011_550"
"-4.6039633233152","4.74556305436373","-3.98686952039619","400","rural","poor_2011_550"
"-4.45122059935032","4.24841097580677","-3.82923375070818","450","rural","poor_2011_550"
"-4.14601997918013","3.74560681915142","-3.68911363543116","500","rural","poor_2011_550"
"-10.747368467784","11.0450642302237","8.46285238607838","100","urban","poor_2011_550"
"-9.09632063529736","8.08261878347627","8.64361563405172","150","urban","poor_2011_550"
"-6.97755256049288","7.24169130295535","8.49252517064379","200","urban","poor_2011_550"
"-6.22822938293497","6.00018339446459","8.48584938859745","250","urban","poor_2011_550"
"-4.83668949455868","4.93929607876957","8.74090148559293","300","urban","poor_2011_550"
