dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2015_tot,h2015_wetQ,h2015_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2015_eviarea,h2015_evimax,h2015_grn,h2015_sen,lat_dd_mod,lon_dd_mod,household_id_1,household_id_2,household_id_3,household_id_4,household_id_5,household_id_6,household_id_7,household_id_8,household_id_9,household_id_10,household_id_11,household_id_12,household_id_13,household_id_14,household_id_15,household_id_16,household_id_17,ea_id_1,ea_id_2,ea_id_3,ea_id_4,ea_id_5,ea_id_6,ea_id_7,ea_id_8,ea_id_9,ea_id_10,ea_id_11,ea_id_12,ea_id_13,ea_id_14,
28,36,64,205,114,100-200,218,208,792,255,609,93,14,322,1802,11,13,1,1,5,1,1,1,5,996,810,17,1629,1360,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,0,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
28,36,63,204,115,100-200,218,208,796,256,611,87,14,322,1786,12,13,1,1,5,1,1,1,5,998,811,17,1628,1359,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,0,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
28,36,63,204,114,100-200,218,208,796,256,611,91,14,322,1782,12,13,1,1,5,1,1,1,5,997,810,17,1628,1359,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,1,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
28,37,64,205,114,100-200,221,212,790,254,605,95,14,322,1718,11,13,1,1,4,1,1,1,4,993,808,17,1627,1358,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,1,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
28,37,63,205,114,100-200,221,212,790,254,605,96,14,322,1704,12,13,1,1,4,1,1,1,4,993,808,17,1626,1358,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,1,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
28,37,63,205,114,100-200,221,212,790,254,605,97,14,322,1756,12,13,1,1,4,1,1,1,4,994,808,17,1626,1358,17,46,0.432,177,257,40,0.386,173,256,13.84408403,38.48032504,1,0,1,0,3,0,8,8,8,0,1,8,0,4,1,0,0,1,0,1,0,3,0,8,8,8,0,1,8,0,4,
24,30,73,148,173,50-100,260,252,738,229,552,85,14,312,1154,12,8,1,1,4,1,1,1,4,1070,857,18,1513,1062,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,0,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
28,35,74,144,177,50-100,262,255,721,223,539,73,30,312,1082,13,3,1,1,4,1,1,1,4,1074,861,18,1510,1035,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,0,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
26,32,74,147,174,50-100,262,254,725,224,541,88,14,312,1141,12,8,1,1,4,1,1,1,4,1069,857,18,1513,1053,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,0,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
26,31,75,147,175,50-100,262,255,721,223,538,56,30,312,1085,12,8,1,1,4,1,1,1,4,1065,853,18,1509,1052,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,0,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
